id,name,year,imports_usd,exports_usd,balance_usd,export_import_ratio,import_hhi,export_hhi,effective_import_partners,effective_export_partners,import_top1_share,import_top3_share,export_top1_share,export_top3_share,import_partner_count,export_partner_count,import_share_usa,import_share_china,import_share_taiwan_proxy,import_share_south_korea,import_share_japan,import_share_eu27
nld,Netherlands,2024,10014106785.0,28587258306.0,18573151521.0,2.854699,0.102324,0.18614,9.77,5.37,0.193306,0.473314,0.354042,0.670698,131,173,0.174087,0.052864,0.067935,0.04608,0.027047,0.269942
jpn,Japan,2024,30383214401.0,82634993701.0,52251779300.0,2.719758,0.234623,0.15338,4.26,6.52,0.447471,0.642742,0.299211,0.583842,88,123,0.100294,0.094977,0.447471,0.061978,0.0,0.080503
kor,South Korea,2024,77231138491.0,150949827281.0,73718688790.0,1.95452,0.189409,0.195511,5.28,5.11,0.291041,0.659757,0.346799,0.678652,126,138,0.088308,0.280408,0.291041,0.0,0.073947,0.104033
twn,"Taiwan (Asia, nes proxy)",2024,90738082579.0,233572529677.0,142834447098.0,2.57414,0.167789,0.147952,5.96,6.76,0.292462,0.63753,0.243584,0.615957,102,134,0.089047,0.181655,0.0,0.292462,0.163413,0.079195
sgp,Singapore,2024,97346904906.0,95714603880.0,-1632301026.0,0.983232,0.241762,0.210396,4.14,4.75,0.428494,0.715932,0.390431,0.672187,148,149,0.030751,0.083967,0.428494,0.100799,0.059724,0.043332
mys,Malaysia,2024,57016753218.0,91646408750.0,34629655532.0,1.607359,0.128723,0.123881,7.77,8.07,0.173867,0.509389,0.198248,0.534536,101,148,0.173867,0.172116,0.159973,0.051854,0.070764,0.12759
ind,India,2024,25005272693.0,623368520.0,-24381904173.0,0.024929,0.30855,0.100944,3.24,9.91,0.487607,0.83927,0.189879,0.479639,90,157,0.006356,0.487607,0.230356,0.121308,0.03263,0.016123
vnm,Vietnam,2024,66568145806.0,34410361452.0,-32157784354.0,0.516919,0.183531,0.248674,5.45,4.02,0.269105,0.665285,0.421891,0.737869,51,103,0.04539,0.269105,0.068234,0.266813,0.039818,0.003765
isr,Israel,2024,2627862006.0,9166145066.0,6538283060.0,3.488062,0.112867,0.358625,8.86,2.79,0.249297,0.469674,0.447258,0.874079,66,109,0.249297,0.03143,0.128406,0.053176,0.027151,0.301944
tur,Türkiye,2024,1573976559.0,92324599.0,-1481651960.0,0.058657,0.207284,0.057563,4.82,17.37,0.410167,0.633525,0.148402,0.31542,102,153,0.026626,0.410167,0.118992,0.081636,0.019189,0.182039
are,United Arab Emirates,2024,524151918.0,51213027.0,-472938891.0,0.097706,0.123028,0.389761,8.13,2.57,0.206271,0.55952,0.614605,0.736084,69,93,0.053916,0.171428,0.018342,0.02943,0.000956,0.265524
sau,Saudi Arabia,2024,224429973.0,16286242.0,-208143731.0,0.072567,0.111087,0.256465,9.0,3.9,0.240486,0.489312,0.469593,0.678647,82,56,0.078834,0.240486,0.020856,0.019193,0.015695,0.295622
gbr,United Kingdom,2024,3056102459.0,2760804578.0,-295297881.0,0.903374,0.093612,0.075939,10.68,13.17,0.163687,0.453826,0.147338,0.377413,119,165,0.146612,0.143527,0.163687,0.061694,0.039713,0.190928
aus,Australia,2024,504940344.0,134111362.0,-370828982.0,0.265598,0.101636,0.099573,9.84,10.04,0.179494,0.472094,0.249352,0.44439,79,130,0.088091,0.155262,0.137339,0.036444,0.013818,0.157214
can,Canada,2024,1934523831.0,927739659.0,-1006784172.0,0.47957,0.141597,0.262096,7.06,3.82,0.306224,0.520248,0.493402,0.643373,119,139,0.306224,0.10383,0.101842,0.055732,0.035068,0.073707
usa,United States,2024,56962509399.0,75084316087.0,18121806688.0,1.318136,0.107643,0.103945,9.29,9.62,0.201506,0.497032,0.201715,0.462041,142,178,0.0,0.057942,0.201506,0.057929,0.109271,0.126773
chn,China,2024,229527496321.0,199891450425.0,-29636045896.0,0.870882,0.147855,0.209996,6.76,4.76,0.247877,0.583673,0.417109,0.615067,140,192,0.065986,0.0,0.247877,0.228074,0.107723,0.093258
eun,"European Union (EU-27, excluding Netherlands)",2024,49231830686.0,46925542228.0,-2306288458.0,0.953155,0.093771,0.119315,10.66,8.38,0.149066,0.388767,0.24047,0.514316,177,181,0.102517,0.149066,0.122511,0.042109,0.071959,0.0
